config,rows,cols,workload,wl_type,K,N,n_seq,d_head,h_dimm,dimm_dpes,V,H,dpe_count,acam_eligible,fmax_mhz,grid_w,grid_h,fpga_area_mm2,latency_ns,energy_pj,throughput_per_mm2,throughput_per_J,edap,e_imc_vmm,e_imc_digital,e_clb_reduction,e_clb_activation,e_sram,clb_count,dsp_count,mem_count,wc_count,run_dir
128x64,128,64,fc_512_512,fc,512,512,0,0,0,0,4,8,32,False,178.784,56,56,7.021504,1352.4,3550.2,105308.80638460287,281674271.87200725,33712280.31048192,1208.5914,1970.4761,130.5348,230.4,10.197,23,0,4,32,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x64/fc_512_512
256x64,256,64,fc_2048_256,fc,2048,256,0,0,0,0,8,4,32,False,160.644,41,41,3.763759,3004.2,4215.39,88440.12570587333,237225974.34638312,47663772.14364424,1718.0449,2206.9869,152.2906,115.2,22.869,33,0,6,32,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x64/fc_2048_256
128x256,128,256,fc_2048_256,fc,2048,256,0,0,0,0,16,1,16,False,122.63,44,44,4.334704,3940.52,9568.92,58544.62349326475,104505001.60937703,163446605.83735505,3377.2878,5727.225,326.3369,115.2,22.869,54,0,6,16,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x256/fc_2048_256
128x64,128,64,fc_2048_256,fc,2048,256,0,0,0,0,16,4,64,False,126.41,72,72,11.606976,3822.99,9456.83,22536.04761360213,105743679.43592092,419631257.5365753,3418.6662,5573.7616,326.3369,115.2,22.869,58,0,6,64,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x64/fc_2048_256
128x128,128,128,fc_2048_256,fc,2048,256,0,0,0,0,16,2,32,False,121.088,79,79,13.973599,3990.58,9684.86,17933.113708156357,103253944.81696172,540054569.3074551,3420.296,5800.1586,326.3369,115.2,22.869,55,0,6,32,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x128/fc_2048_256
128x256,128,256,attention_128_64,attention,64,128,128,64,1,4,1,1,7,True,195.431,40,40,3.5824,84843.92,5501502.5,3290.070453120181,181768.52596177135,1672153401694.6594,16953.5765,28749.9772,796434.5472,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x256/attention_128_64
256x128,256,128,attention_128_64,attention,64,128,128,64,1,4,1,1,7,True,195.431,40,40,3.5824,84843.92,4249515.44,3290.070453120181,235320.94755725842,1291618371263.1191,10561.1413,14421.0325,796434.5472,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x128/attention_128_64
512x256,512,256,attention_128_64,attention,64,128,128,64,1,4,1,1,7,True,195.431,40,40,3.5824,84843.92,6602857.9,3290.070453120181,151449.57155597728,2006904713465.359,27986.2908,28842.065,796434.5472,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/attention_128_64
1024x128,1024,128,attention_128_64,attention,64,128,128,64,1,4,1,1,7,True,195.431,40,40,3.5824,84843.92,5924007.42,3290.070453120181,168804.65014677515,1800571600034.2458,23067.2595,14697.2957,796434.5472,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/attention_128_64
256x64,256,64,attention_128_64,attention,64,128,128,64,2,8,1,1,11,True,195.431,40,40,3.5824,86153.85,4319370.45,3240.046432270785,231515.22000156294,1333119922905.7874,5648.9216,7256.5601,796434.5472,0,811.1565,157,2,53,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x64/attention_128_64
512x64,512,64,attention_128_64,attention,64,128,128,64,2,8,1,1,11,True,195.431,40,40,3.5824,86153.85,4978471.52,3240.046432270785,200864.86303732035,1536543263829.352,8101.6256,7348.6479,796434.5472,0,811.1565,157,2,53,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x64/attention_128_64
256x256,256,256,attention_128_64,attention,64,128,128,64,1,4,1,1,7,True,187.8,40,40,3.5824,88638.47,6071292.11,3149.2248717615767,164709.58436555936,1927868716025.957,21213.9212,29918.1938,828796.5921,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x256/attention_128_64
512x128,512,128,attention_128_64,attention,64,128,128,64,1,4,1,1,7,True,182.429,40,40,3.5824,91499.57,5137471.73,3050.7517611163894,194648.27303293013,1684001889462.1562,15779.6666,15547.493,853197.6824,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/attention_128_64
1024x256,1024,256,attention_128_64,attention,64,128,128,64,1,4,1,1,7,True,162.377,38,38,3.233116,103853.55,9743467.77,2978.224052230745,102632.86374066798,3271569767459.893,51979.1448,34934.9181,958559.4019,0,811.1565,157,2,52,7,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/attention_128_64
