config,d_pct,c_pct,workload,P,fmax_mhz,eff_latency_ns,dpe_area_pct,fmax_seed1,fmax_seed2,fmax_seed3,status
512x128,40,20,fc_2048_256,1,141.042,7.090086640858751,9.333333333333334,147.909,141.353,133.864,OK (cached)
512x128,40,20,fc_512_128,7,130.82633333333334,1.091960152190126,9.333333333333334,130.409,132.826,129.244,OK (cached)
512x128,40,20,fc_512_512,3,133.315,2.5003437972721247,9.333333333333334,137.512,130.688,131.745,OK (cached)
512x128,40,40,fc_2048_256,4,134.506,1.8586531455845836,23.333333333333332,136.552,128.957,138.009,OK (cached)
512x128,40,40,fc_512_128,7,124.94233333333334,1.143384624297152,23.333333333333332,114.71,123.994,136.123,OK (cached)
512x128,40,40,fc_512_512,7,129.217,1.105559971653442,23.333333333333332,132.296,129.387,125.968,OK (cached)
512x128,40,60,fc_2048_256,7,nan,inf,37.333333333333336,nan,nan,nan,FAILED
512x128,40,60,fc_512_128,7,120.26933333333334,1.1878102164348587,37.333333333333336,126.84,117.753,116.215,OK (cached)
512x128,40,60,fc_512_512,7,131.60033333333334,1.085537849629126,37.333333333333336,133.252,134.988,126.561,OK (cached)
512x128,60,0,fc_2048_256,1,141.042,7.090086640858751,9.333333333333334,147.909,141.353,133.864,OK (cached)
512x128,60,0,fc_512_128,7,130.82633333333334,1.091960152190126,9.333333333333334,130.409,132.826,129.244,OK (cached)
512x128,60,0,fc_512_512,3,133.315,2.5003437972721247,9.333333333333334,137.512,130.688,131.745,OK (cached)
512x128,60,20,fc_2048_256,1,141.042,7.090086640858751,9.333333333333334,147.909,141.353,133.864,OK (cached)
512x128,60,20,fc_512_128,7,130.82633333333334,1.091960152190126,9.333333333333334,130.409,132.826,129.244,OK (cached)
512x128,60,20,fc_512_512,3,133.315,2.5003437972721247,9.333333333333334,137.512,130.688,131.745,OK (cached)
512x128,60,40,fc_2048_256,4,134.506,1.8586531455845836,23.333333333333332,136.552,128.957,138.009,OK (cached)
512x128,60,40,fc_512_128,7,124.94233333333334,1.143384624297152,23.333333333333332,114.71,123.994,136.123,OK (cached)
512x128,60,40,fc_512_512,7,129.217,1.105559971653442,23.333333333333332,132.296,129.387,125.968,OK (cached)
512x128,60,60,fc_2048_256,7,nan,inf,37.333333333333336,nan,nan,nan,FAILED
