dsp_ratio,clb_ratio,config,workload,P,total_dpes,V,H,dpes_per_replica,clbs_need,clbs_avail,clb_util_pct,fmax_mhz,fmax_baseline_mhz,gain,utilization,energy_pj,energy_baseline_pj,energy_ratio,tpj_scaling,grid_w,grid_h,clb_count,dsp_count,mem_count,wc_count,run_dir
1.0,0.6,512x256,fc_512_128,118,126,1,1,1,3570,4391,81.3,104.903,227.35833333333335,54.4451,0.4614,833.49,388.01,0.4655,0.2148,120,120,1154,0,472,118,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d100_c60/fc_512_128
0.2,0.0,512x256,fc_512_512,4,9,1,2,2,150,10978,1.4,254.03100000000003,254.03100000000003,4.0,1.0,693.31,693.31,1.0,1.0,120,120,41,0,16,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d20_c0/fc_512_512
0.2,0.2,512x256,fc_512_512,13,27,1,2,2,420,8782,4.8,175.44899999999998,254.03100000000003,8.9786,0.6907,999.27,693.31,0.6938,0.4792,120,120,119,0,52,26,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d20_c20/fc_512_512
0.2,0.4,512x256,fc_512_512,27,54,1,2,2,840,6586,12.8,154.27266666666665,254.03100000000003,16.3971,0.6073,1135.03,693.31,0.6108,0.371,120,120,274,0,108,54,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d20_c40/fc_512_512
0.2,0.6,512x256,fc_512_512,45,90,1,2,2,1380,4391,31.4,151.73333333333332,254.03100000000003,26.8786,0.5973,1153.86,693.31,0.6009,0.3589,120,120,405,0,180,90,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d20_c60/fc_512_512
0.4,0.0,512x256,fc_512_512,9,18,1,2,2,300,10978,2.7,221.47133333333332,254.03100000000003,7.8465,0.8718,793.74,693.31,0.8735,0.7615,120,120,86,0,36,18,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d40_c0/fc_512_512
0.4,0.2,512x256,fc_512_512,18,36,1,2,2,570,8782,6.5,167.95366666666666,254.03100000000003,11.9008,0.6612,1043.41,693.31,0.6645,0.4393,120,120,187,0,72,36,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d40_c20/fc_512_512
0.4,0.4,512x256,fc_512_512,27,54,1,2,2,840,6586,12.8,165.38566666666668,254.03100000000003,17.5782,0.651,1059.45,693.31,0.6544,0.426,120,120,274,0,108,54,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d40_c40/fc_512_512
0.4,0.6,512x256,fc_512_512,49,99,1,2,2,1500,4391,34.2,135.12066666666666,254.03100000000003,26.0634,0.5319,1294.47,693.31,0.5356,0.2849,120,120,451,0,196,98,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d40_c60/fc_512_512
0.6,0.0,512x256,fc_512_512,18,36,1,2,2,570,10978,5.2,179.20933333333335,254.03100000000003,12.6983,0.7055,978.51,693.31,0.7085,0.4998,120,120,187,0,72,36,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d60_c0/fc_512_512
0.6,0.2,512x256,fc_512_512,27,54,1,2,2,840,8782,9.6,171.46266666666668,254.03100000000003,18.2241,0.675,1022.26,693.31,0.6782,0.4578,120,120,274,0,108,54,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d60_c20/fc_512_512
0.6,0.4,512x256,fc_512_512,36,72,1,2,2,1110,6586,16.9,164.85766666666666,254.03100000000003,23.3628,0.649,1062.81,693.31,0.6523,0.4233,120,120,325,0,144,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d60_c40/fc_512_512
0.6,0.6,512x256,fc_512_512,54,108,1,2,2,1650,4391,37.6,134.97533333333334,254.03100000000003,28.692,0.5313,1295.85,693.31,0.535,0.2843,120,120,495,0,216,108,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d60_c60/fc_512_512
0.8,0.0,512x256,fc_512_512,22,45,1,2,2,690,10978,6.3,169.51066666666668,254.03100000000003,14.6802,0.6673,1033.92,693.31,0.6706,0.4475,120,120,214,0,88,44,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d80_c0/fc_512_512
0.8,0.2,512x256,fc_512_512,31,63,1,2,2,960,8782,10.9,155.601,254.03100000000003,18.9884,0.6125,1125.43,693.31,0.616,0.3773,120,120,323,0,124,62,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d80_c20/fc_512_512
0.8,0.4,512x256,fc_512_512,40,81,1,2,2,1230,6586,18.7,157.75333333333333,254.03100000000003,24.84,0.621,1110.22,693.31,0.6245,0.3878,120,120,368,0,160,80,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d80_c40/fc_512_512
0.8,0.6,512x256,fc_512_512,58,117,1,2,2,1770,4391,40.3,138.69933333333333,254.03100000000003,31.6676,0.546,1261.33,693.31,0.5497,0.3001,120,120,521,0,232,116,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d80_c60/fc_512_512
1.0,0.0,512x256,fc_512_512,31,63,1,2,2,960,10978,8.7,141.07399999999998,254.03100000000003,17.2156,0.5553,1240.27,693.31,0.559,0.3104,120,120,323,0,124,62,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d100_c0/fc_512_512
1.0,0.2,512x256,fc_512_512,36,72,1,2,2,1110,8782,12.6,158.99033333333333,254.03100000000003,22.5313,0.6259,1101.66,693.31,0.6293,0.3939,120,120,325,0,144,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d100_c20/fc_512_512
1.0,0.4,512x256,fc_512_512,45,90,1,2,2,1380,6586,21.0,139.35799999999998,254.03100000000003,24.6864,0.5486,1255.42,693.31,0.5523,0.303,120,120,405,0,180,90,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d100_c40/fc_512_512
1.0,0.6,512x256,fc_512_512,63,126,1,2,2,1920,4391,43.7,125.084,254.03100000000003,31.021,0.4924,1397.52,693.31,0.4961,0.2443,120,120,619,0,252,126,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d100_c60/fc_512_512
