config,rows,cols,workload,wl_type,K,N,n_seq,d_head,h_dimm,dimm_dpes,V,H,dpe_count,acam_eligible,fmax_mhz,grid_w,grid_h,fpga_area_mm2,latency_ns,energy_pj,throughput_per_mm2,throughput_per_J,edap,e_imc_vmm,e_imc_digital,e_clb_reduction,e_clb_activation,e_sram,clb_count,dsp_count,mem_count,wc_count,run_dir
256x256,256,256,fc_512_128,fc,512,128,0,0,0,0,2,1,2,False,209.529,26,26,1.513564,668.62,790.95,988143.1110475621,1264302421.1391363,800440.7369307961,297.093,418.9931,10.8779,57.6,6.3854999999999995,12,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x256/fc_512_128
512x256,512,256,fc_512_512,fc,512,512,0,0,0,0,1,2,2,True,312.747,26,26,1.513564,668.68,565.06,988054.4459362042,1769723569.1784945,571891.5615673311,273.2535,281.6091,0,0,10.197,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/fc_512_512
1024x128,1024,128,fc_512_512,fc,512,512,0,0,0,0,1,4,4,True,312.747,26,26,1.513564,668.68,747.65,988054.4459362042,1337524242.6268976,756689.0701975279,450.4497,287.0039,0,0,10.197,8,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/fc_512_512
1024x64,1024,64,fc_512_512,fc,512,512,0,0,0,0,1,8,8,True,305.914,26,26,1.513564,683.39,830.31,966786.530251571,1204369452.3732102,858834.8865224074,519.3407,300.7682,0,0,10.197,8,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x64/fc_512_512
128x64,128,64,fc_512_128,fc,512,128,0,0,0,0,4,2,8,False,189.059,25,25,1.399375,745.22,848.19,958917.8152174719,1178981124.5121965,884528.3574251252,285.7267,465.8461,32.6337,57.6,6.3854999999999995,19,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x64/fc_512_128
128x128,128,128,fc_512_128,fc,512,128,0,0,0,0,4,1,4,False,179.336,25,25,1.399375,785.08,874.83,910231.7397671122,1143079226.8212109,961106.8937497502,288.6738,489.5347,32.6337,57.6,6.3854999999999995,19,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x128/fc_512_128
512x128,512,128,fc_512_512,fc,512,512,0,0,0,0,1,4,4,True,276.758,26,26,1.513564,754.33,655.5,875866.3276134065,1525553012.9672005,748401.87290466,325.0435,320.261,0,0,10.197,8,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/fc_512_512
512x64,512,64,fc_512_512,fc,512,512,0,0,0,0,1,8,8,True,305.914,30,30,2.0151,683.39,627.09,726164.1049445133,1594667432.107034,863565.13043001,323.4791,293.4145,0,0,10.197,8,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x64/fc_512_512
128x256,128,256,fc_256_512,fc,256,512,0,0,0,0,2,2,4,False,241.666,28,28,1.755376,787.93,1436.57,723006.5094845324,696102521.9794371,1986939.2338171375,428.4393,726.5499,43.5116,230.4,7.672499999999999,12,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x256/fc_256_512
128x256,128,256,fc_512_128,fc,512,128,0,0,0,0,4,1,4,False,158.848,28,28,1.755376,885.05,1853.78,643668.175829781,539438336.80372,2880024.3193788636,651.8131,1105.3485,32.6337,57.6,6.3854999999999995,19,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x256/fc_512_128
